iter	Passed	Remaining
412	2328	3309
413	2331	3299
414	2334	3290
415	2337	3282
416	2340	3272
417	2344	3263
418	2348	3256
419	2353	3249
420	2356	3240
421	2359	3231
422	2363	3223
423	2366	3214
424	2369	3206
425	2372	3196
426	2375	3188
427	2379	3179
428	2382	3170
429	2384	3161
430	2386	3151
431	2390	3143
432	2394	3135
433	2397	3126
434	2400	3117
435	2403	3109
436	2406	3100
437	2409	3092
438	2413	3084
439	2417	3076
440	2421	3068
441	2423	3060
442	2426	3050
443	2429	3042
444	2432	3033
445	2436	3025
446	2438	3017
447	2441	3008
448	2444	3000
449	2448	2992
450	2452	2985
451	2455	2976
452	2459	2969
453	2462	2961
454	2464	2952
455	2467	2944
456	2470	2935
457	2473	2927
458	2477	2919
459	2480	2911
460	2483	2903
461	2487	2896
462	2490	2888
463	2493	2880
464	2497	2873
465	2500	2865
466	2505	2859
467	2509	2852
468	2512	2844
469	2517	2838
470	2521	2831
471	2524	2824
472	2529	2818
473	2533	2811
474	2537	2804
475	2539	2795
476	2544	2790
477	2547	2782
478	2551	2775
479	2553	2766
480	2557	2759
481	2561	2752
482	2565	2745
483	2571	2741
484	2584	2744
485	2589	2738
486	2592	2731
487	2597	2725
488	2602	2719
489	2605	2711
490	2608	2704
491	2611	2696
492	2614	2688
493	2619	2683
494	2622	2675
495	2628	2670
496	2631	2663
497	2634	2655
498	2642	2653
499	2652	2652
500	2672	2661
501	2675	2654
502	2679	2647
503	2684	2641
504	2691	2638
505	2738	2673
506	2741	2665
507	2744	2658
508	2748	2651
509	2752	2644
510	2755	2636
511	2758	2629
512	2762	2622
513	2766	2615
514	2769	2607
515	2771	2599
516	2775	2593
517	2779	2586
518	2783	2579
519	2786	2572
520	2792	2567
521	2796	2560
522	2799	2553
523	2802	2546
524	2806	2539
525	2809	2532
526	2814	2525
527	2819	2520
528	2823	2514
529	2827	2507
530	2831	2500
531	2834	2493
532	2837	2486
533	2841	2479
534	2845	2473
535	2850	2467
536	2854	2461
537	2858	2454
538	2869	2454
539	2874	2448
540	2879	2443
541	2885	2438
542	2892	2434
543	2923	2450
544	2928	2445
545	2932	2438
546	2942	2436
547	2960	2441
548	2968	2438
549	2982	2439
550	2988	2435
551	3002	2436
552	3014	2436
553	3030	2439
554	3034	2432
555	3046	2432
556	3059	2433
557	3064	2427
558	3066	2419
559	3080	2420
560	3085	2414
561	3093	2410
562	3100	2406
563	3104	2400
564	3110	2394
565	3116	2389
566	3121	2383
567	3139	2387
568	3145	2382
569	3153	2378
570	3163	2376
571	3173	2374
572	3182	2371
573	3195	2371
574	3226	2384
575	3231	2378
576	3235	2372
577	3242	2367
578	3248	2362
579	3255	2357
580	3258	2350
581	3262	2343
582	3268	2338
583	3273	2331
584	3277	2325
585	3284	2320
586	3291	2315
587	3294	2308
588	3299	2302
589	3302	2295
590	3305	2287
591	3309	2281
592	3316	2275
593	3329	2275
594	3333	2269
595	3350	2271
596	3359	2268
597	3372	2267
598	3378	2261
599	3381	2254
600	3388	2249
601	3392	2242
602	3402	2240
603	3413	2237
604	3417	2231
605	3427	2228
606	3436	2224
607	3438	2216
608	3441	2209
609	3444	2202
610	3447	2194
611	3456	2191
612	3461	2185
613	3464	2178
614	3467	2170
615	3470	2163
616	3474	2156
617	3480	2151
618	3497	2152
619	3516	2155
620	3544	2163
621	3547	2155
622	3550	2148
623	3554	2141
624	3557	2134
625	3566	2130
626	3571	2124
627	3588	2125
628	3619	2135
629	3624	2128
630	3634	2125
631	3650	2125
632	3654	2118
633	3684	2127
634	3688	2120
635	3691	2112
636	3696	2106
637	3699	2099
638	3702	2091
639	3705	2084
640	3710	2077
641	3712	2070
642	3715	2062
643	3721	2057
644	3725	2050
645	3731	2044
646	3735	2038
647	3739	2031
648	3742	2023
649	3745	2016
650	3749	2009
651	3752	2002
652	3755	1995
653	3759	1988
654	3762	1981
655	3766	1974
656	3769	1967
657	3773	1961
658	3779	1955
659	3783	1948
660	3788	1943
661	3792	1936
662	3795	1929
663	3798	1922
664	3802	1915
665	3805	1908
666	3808	1901
667	3811	1894
668	3813	1887
669	3818	1880
670	3823	1874
671	3826	1867
672	3829	1860
673	3833	1854
674	3837	1847
675	3845	1843
676	3849	1836
677	3853	1830
678	3856	1823
679	3863	1818
680	3867	1811
681	3870	1804
682	3877	1799
683	3881	1793
684	3883	1785
685	3888	1779
686	3891	1773
687	3894	1766
688	3898	1759
689	3901	1752
690	3906	1746
691	3909	1739
692	3911	1732
693	3914	1726
694	3919	1719
695	3923	1713
696	3927	1707
697	3930	1700
698	3935	1694
699	3938	1688
700	3941	1681
701	3945	1674
702	3950	1668
703	3953	1662
704	3956	1655
705	3959	1648
706	3964	1643
707	3967	1636
708	3971	1629
709	3974	1623
710	3977	1616
711	3980	1610
712	3983	1603
713	3988	1597
714	3992	1591
715	3995	1584
716	3999	1578
717	4002	1571
718	4005	1565
719	4008	1558
720	4011	1552
721	4016	1546
722	4021	1540
723	4025	1534
724	4029	1528
725	4033	1522
726	4037	1516
727	4041	1509
728	4044	1503
729	4048	1497
730	4051	1490
731	4054	1484
732	4058	1478
733	4061	1471
734	4065	1465
735	4068	1459
736	4072	1453
737	4075	1447
738	4079	1440
739	4086	1435
740	4090	1429
741	4093	1423
742	4098	1417
743	4101	1411
744	4106	1405
745	4109	1399
746	4111	1392
747	4114	1386
748	4119	1380
749	4122	1374
750	4125	1367
751	4128	1361
752	4132	1355
753	4136	1349
754	4139	1343
755	4142	1336
756	4145	1330
757	4148	1324
758	4151	1318
759	4155	1312
760	4163	1307
761	4166	1301
762	4168	1294
763	4172	1288
764	4176	1283
765	4179	1276
766	4182	1270
767	4184	1264
768	4189	1258
769	4192	1252
770	4195	1246
771	4198	1240
772	4202	1234
773	4205	1227
774	4208	1221
775	4211	1215
776	4214	1209
777	4220	1204
778	4223	1198
779	4226	1192
780	4229	1186
781	4233	1180
782	4237	1174
783	4241	1168
784	4245	1162
785	4249	1156
786	4252	1150
787	4255	1144
788	4259	1139
789	4263	1133
790	4266	1127
791	4270	1121
792	4275	1115
793	4279	1110
794	4282	1104
795	4285	1098
796	4289	1092
797	4292	1086
798	4296	1080
799	4299	1074
800	4302	1069
801	4306	1063
802	4310	1057
803	4313	1051
804	4316	1045
805	4320	1039
806	4322	1033
807	4325	1027
808	4328	1021
809	4332	1016
810	4336	1010
811	4339	1004
812	4343	999
813	4349	993
814	4353	988
815	4356	982
816	4360	976
817	4363	970
818	4366	965
819	4369	959
820	4372	953
821	4375	947
822	4379	941
823	4382	935
824	4384	930
825	4389	924
826	4393	919
827	4395	913
828	4398	907
829	4402	901
830	4405	895
831	4408	890
832	4411	884
833	4413	878
834	4416	872
835	4419	866
836	4421	861
837	4426	855
838	4429	850
839	4433	844
840	4436	838
841	4439	832
842	4441	827
843	4445	821
844	4449	816
845	4452	810
846	4455	804
847	4459	799
848	4461	793
849	4465	788
850	4468	782
851	4472	776
852	4475	771
853	4479	765
854	4482	760
855	4485	754
856	4488	748
857	4491	743
858	4495	737
859	4497	732
860	4500	726
861	4508	721
862	4512	716
863	4516	710
864	4519	705
865	4522	699
866	4525	694
867	4527	688
868	4531	683
869	4535	677
870	4538	672
871	4542	666
872	4548	661
873	4552	656
874	4555	650
875	4558	645
876	4562	639
877	4565	634
878	4568	628
879	4571	623
880	4575	618
881	4579	612
882	4582	607
883	4585	601
884	4588	596
885	4591	590
886	4595	585
887	4598	579
888	4602	574
889	4605	569
890	4609	563
891	4612	558
892	4615	553
893	4618	547
894	4621	542
895	4624	536
896	4627	531
897	4632	526
898	4636	520
899	4640	515
900	4648	510
901	4652	505
902	4655	500
903	4657	494
904	4661	489
905	4664	484
906	4668	478
907	4670	473
908	4673	467
909	4677	462
910	4681	457
911	4684	451
912	4688	446
913	4692	441
914	4695	436
915	4698	430
916	4701	425
917	4704	420
918	4708	414
919	4711	409
920	4715	404
921	4719	399
922	4723	394
923	4726	388
924	4729	383
925	4734	378
926	4739	373
927	4742	367
928	4746	362
929	4748	357
930	4751	352
931	4755	346
932	4758	341
933	4762	336
934	4766	331
935	4769	326
936	4773	320
937	4777	315
938	4781	310
939	4784	305
940	4787	300
941	4792	295
942	4796	289
943	4799	284
944	4801	279
945	4806	274
946	4810	269
947	4813	264
948	4817	258
949	4822	253
950	4825	248
951	4828	243
952	4832	238
953	4836	233
954	4840	228
955	4842	222
956	4846	217
957	4848	212
958	4852	207
959	4856	202
960	4859	197
961	4862	192
962	4866	186
963	4869	181
964	4872	176
965	4875	171
966	4878	166
967	4882	161
968	4885	156
969	4888	151
970	4892	146
971	4898	141
972	4901	136
973	4903	130
974	4907	125
975	4911	120
976	4913	115
977	4915	110
978	4918	105
979	4922	100
980	4925	95
981	4927	90
982	4932	85
983	4936	80
984	4940	75
985	4944	70
986	4947	65
987	4951	60
988	4954	55
989	4957	50
990	4960	45
991	4964	40
992	4967	35
993	4970	30
994	4973	24
995	4976	19
996	4980	14
997	4983	9
998	4986	4
999	4989	0
